road_segment,datetime,average_speed
2,2019-12-05 05:00:10,27.6
2,2019-12-18 05:00:18,35.0
2,2019-12-25 05:00:21,32.7
2,2019-12-24 05:00:25,30.1
2,2019-12-03 05:00:42,33.7
2,2019-12-13 05:01:04,32.9
2,2019-12-16 05:01:30,34.0
2,2019-12-06 05:01:44,34.3
2,2019-12-16 05:02:58,29.8
2,2019-12-28 05:03:56,28.2
2,2019-12-18 05:04:18,26.8
2,2019-12-22 05:04:28,39.1
2,2019-12-24 05:04:37,32.1
2,2019-12-14 05:04:44,34.2
2,2019-12-22 05:05:25,35.5
2,2019-12-22 05:05:34,36.8
2,2019-12-22 05:06:52,33.5
2,2019-12-22 05:07:01,27.4
2,2019-12-11 05:07:59,26.8
2,2019-12-09 05:09:16,31.2
2,2019-12-21 05:10:27,39.0
2,2019-12-18 05:10:55,30.9
2,2019-12-05 05:11:03,36.3
2,2019-12-15 05:11:03,29.4
2,2019-12-03 05:12:34,31.9
2,2019-12-15 05:12:58,26.4
2,2019-12-31 05:14:44,33.1
2,2019-12-04 05:15:03,34.3
2,2019-12-20 05:15:35,30.9
2,2019-12-01 05:15:39,32.6
2,2019-12-20 05:15:54,31.0
2,2019-12-11 05:15:58,30.1
2,2019-12-06 05:16:14,31.6
2,2019-12-12 05:16:25,31.5
2,2019-12-29 05:17:16,34.1
2,2019-12-10 05:17:29,35.5
2,2019-12-22 05:19:37,29.9
2,2019-12-29 05:19:45,32.4
2,2019-12-28 05:20:00,35.0
2,2019-12-24 05:20:06,30.0
2,2019-12-23 05:20:07,31.6
2,2019-12-23 05:20:40,31.6
2,2019-12-20 05:20:59,31.1
2,2019-12-01 05:21:25,33.8
2,2019-12-28 05:21:49,30.6
2,2019-12-09 05:23:19,32.5
2,2019-12-19 05:23:28,30.5
2,2019-12-15 05:23:37,29.1
2,2019-12-07 05:23:42,27.1
2,2019-12-02 05:23:47,30.0
2,2019-12-27 05:24:42,31.8
2,2019-12-23 05:25:31,32.8
2,2019-12-22 05:26:01,30.2
2,2019-12-25 05:26:10,33.3
2,2019-12-16 05:27:09,30.9
2,2019-12-02 05:27:29,31.9
2,2019-12-09 05:27:34,32.2
2,2019-12-05 05:27:58,30.9
2,2019-12-02 05:29:01,28.9
2,2019-12-07 05:29:04,32.6
2,2019-12-05 05:30:05,32.9
2,2019-12-28 05:31:44,35.2
2,2019-12-16 05:31:46,33.2
2,2019-12-28 05:31:46,35.1
2,2019-12-31 05:32:48,31.7
2,2019-12-18 05:33:02,31.5
2,2019-12-18 05:33:06,35.3
2,2019-12-30 05:33:33,33.5
2,2019-12-02 05:33:53,35.6
2,2019-12-11 05:34:19,31.6
2,2019-12-06 05:34:31,31.1
2,2019-12-06 05:35:02,31.8
2,2019-12-02 05:35:56,34.1
2,2019-12-22 05:37:26,31.7
2,2019-12-18 05:37:38,31.7
2,2019-12-31 05:38:56,32.4
2,2019-12-22 05:39:37,33.5
2,2019-12-17 05:40:55,31.1
2,2019-12-26 05:42:59,34.3
2,2019-12-20 05:43:25,31.2
2,2019-12-16 05:44:02,27.4
2,2019-12-01 05:46:55,34.5
2,2019-12-03 05:46:59,27.2
2,2019-12-29 05:47:19,32.0
2,2019-12-30 05:49:19,31.7
2,2019-12-13 05:50:44,33.0
2,2019-12-11 05:50:49,32.9
2,2019-12-11 05:52:11,30.6
2,2019-12-25 05:52:26,30.4
2,2019-12-24 05:53:46,35.1
2,2019-12-31 05:53:46,32.4
2,2019-12-03 05:53:49,30.5
2,2019-12-10 05:54:31,33.9
2,2019-12-23 05:54:40,31.4
2,2019-12-18 05:54:43,38.1
2,2019-12-23 05:54:51,30.9
2,2019-12-30 05:56:19,33.3
2,2019-12-29 05:56:59,32.8
2,2019-12-09 05:57:27,34.4
2,2019-12-19 05:57:50,34.6
2,2019-12-06 05:58:18,30.2
2,2019-12-26 05:58:47,36.1
2,2019-12-23 05:59:35,29.0
2,2019-12-23 06:04:18,30.4
2,2019-12-31 06:04:19,33.4
2,2019-12-15 06:04:26,30.2
2,2019-12-24 06:04:53,32.1
2,2019-12-24 06:05:56,34.9
2,2019-12-22 06:06:45,35.9
2,2019-12-12 06:07:06,34.5
2,2019-12-27 06:07:14,33.1
2,2019-12-01 06:07:33,33.1
2,2019-12-03 06:07:36,29.0
2,2019-12-27 06:07:39,32.5
2,2019-12-02 06:08:32,32.9
2,2019-12-08 06:09:01,29.8
2,2019-12-12 06:09:34,32.7
2,2019-12-27 06:10:06,27.5
2,2019-12-30 06:10:22,37.1
2,2019-12-02 06:11:03,34.2
2,2019-12-06 06:12:10,32.7
2,2019-12-03 06:12:31,30.1
2,2019-12-29 06:12:34,36.7
2,2019-12-23 06:13:29,28.7
2,2019-12-12 06:13:34,34.3
2,2019-12-12 06:14:14,37.1
2,2019-12-08 06:14:17,31.9
2,2019-12-15 06:14:29,33.4
2,2019-12-09 06:14:34,31.5
2,2019-12-25 06:14:42,32.1
2,2019-12-30 06:14:57,32.6
2,2019-12-18 06:15:02,33.4
2,2019-12-14 06:16:00,35.6
2,2019-12-17 06:16:19,38.2
2,2019-12-29 06:16:49,32.9
2,2019-12-26 06:17:11,32.8
2,2019-12-16 06:17:13,32.7
2,2019-12-09 06:17:27,31.5
2,2019-12-10 06:18:04,33.2
2,2019-12-09 06:18:48,31.8
