road_segment,datetime,average_speed
0,2019-12-23 05:00:00,27.0
0,2019-12-05 05:00:02,27.6
0,2019-12-12 05:00:04,24.4
0,2019-12-29 05:00:04,30.7
0,2019-12-12 05:00:05,25.2
0,2019-12-30 05:00:08,29.0
0,2019-12-17 05:00:10,25.5
0,2019-12-10 05:00:12,34.4
0,2019-12-09 05:00:20,28.0
0,2019-12-12 05:00:20,30.1
0,2019-12-25 05:00:20,26.1
0,2019-12-03 05:00:22,34.9
0,2019-12-11 05:00:27,26.3
0,2019-12-18 05:00:38,22.8
0,2019-12-30 05:00:58,23.7
0,2019-12-07 05:01:22,29.4
0,2019-12-09 05:01:23,32.1
0,2019-12-09 05:01:31,26.1
0,2019-12-19 05:01:53,22.6
0,2019-12-06 05:01:54,24.3
0,2019-12-27 05:01:57,24.9
0,2019-12-20 05:01:58,29.7
0,2019-12-20 05:02:00,28.6
0,2019-12-26 05:02:05,25.0
0,2019-12-27 05:02:24,27.0
0,2019-12-24 05:02:25,25.8
0,2019-12-08 05:02:36,28.3
0,2019-12-09 05:02:38,26.1
0,2019-12-08 05:02:47,25.9
0,2019-12-04 05:02:56,22.6
0,2019-12-06 05:03:14,26.4
0,2019-12-23 05:03:30,28.5
0,2019-12-24 05:03:38,24.2
0,2019-12-27 05:03:50,25.7
0,2019-12-01 05:03:57,25.6
0,2019-12-31 05:03:57,28.8
0,2019-12-31 05:04:00,24.9
0,2019-12-25 05:04:28,29.0
0,2019-12-06 05:04:43,30.9
0,2019-12-11 05:04:43,28.5
0,2019-12-27 05:04:44,27.4
0,2019-12-22 05:04:59,25.6
0,2019-12-22 05:05:00,22.0
0,2019-12-21 05:05:29,25.5
0,2019-12-22 05:05:56,27.4
0,2019-12-22 05:05:59,25.1
0,2019-12-22 05:06:03,23.0
0,2019-12-23 05:06:04,27.8
0,2019-12-22 05:06:13,20.5
0,2019-12-30 05:06:14,27.1
0,2019-12-04 05:06:19,23.7
0,2019-12-16 05:06:22,23.5
0,2019-12-22 05:06:51,22.6
0,2019-12-31 05:07:08,23.4
0,2019-12-24 05:07:49,29.4
0,2019-12-18 05:07:55,27.1
0,2019-12-17 05:08:00,27.1
0,2019-12-12 05:08:01,25.3
0,2019-12-05 05:08:08,24.8
0,2019-12-03 05:08:13,27.9
0,2019-12-17 05:08:31,25.6
0,2019-12-26 05:09:30,24.4
0,2019-12-10 05:09:43,28.7
0,2019-12-06 05:09:47,32.7
0,2019-12-29 05:09:48,26.9
0,2019-12-17 05:10:04,25.9
0,2019-12-13 05:10:08,27.9
0,2019-12-06 05:10:25,25.7
0,2019-12-23 05:10:37,25.7
0,2019-12-22 05:10:43,26.3
0,2019-12-31 05:11:10,24.0
0,2019-12-27 05:11:18,23.2
0,2019-12-23 05:11:26,27.1
0,2019-12-12 05:11:36,25.5
0,2019-12-15 05:11:46,32.7
0,2019-12-02 05:12:12,30.3
0,2019-12-08 05:12:15,26.6
0,2019-12-17 05:12:22,27.5
0,2019-12-01 05:12:29,28.8
0,2019-12-20 05:13:07,22.9
0,2019-12-26 05:13:19,39.2
0,2019-12-03 05:13:34,22.8
0,2019-12-11 05:13:36,28.4
0,2019-12-10 05:14:33,24.7
0,2019-12-11 05:14:53,25.0
0,2019-12-20 05:15:01,21.7
0,2019-12-15 05:15:17,25.4
0,2019-12-05 05:15:32,26.9
0,2019-12-19 05:15:44,24.0
0,2019-12-05 05:15:52,27.2
0,2019-12-11 05:16:18,28.9
0,2019-12-20 05:16:25,24.9
0,2019-12-11 05:16:38,27.7
0,2019-12-31 05:17:04,22.4
0,2019-12-04 05:17:07,25.0
0,2019-12-04 05:17:29,26.5
0,2019-12-05 05:17:59,26.7
0,2019-12-06 05:18:21,24.7
0,2019-12-08 05:18:44,26.4
0,2019-12-30 05:18:48,24.3
0,2019-12-11 05:19:02,25.7
0,2019-12-08 05:19:04,24.4
0,2019-12-02 05:19:09,27.4
0,2019-12-20 05:19:20,18.3
0,2019-12-06 05:20:38,26.5
0,2019-12-16 05:21:20,23.0
0,2019-12-11 05:21:46,23.5
0,2019-12-11 05:22:00,23.0
0,2019-12-26 05:22:04,29.3
0,2019-12-22 05:22:08,24.7
0,2019-12-05 05:22:15,20.7
0,2019-12-08 05:22:20,27.8
0,2019-12-16 05:22:25,27.7
0,2019-12-29 05:22:32,21.1
0,2019-12-05 05:23:00,26.6
0,2019-12-12 05:23:07,26.7
0,2019-12-16 05:23:20,26.8
0,2019-12-11 05:23:23,24.2
0,2019-12-18 05:23:28,24.0
0,2019-12-20 05:23:49,22.2
0,2019-12-13 05:23:57,24.0
0,2019-12-27 05:24:06,27.3
0,2019-12-18 05:24:12,24.7
0,2019-12-10 05:24:26,28.1
0,2019-12-09 05:24:29,23.9
0,2019-12-18 05:24:29,25.0
0,2019-12-05 05:24:47,32.1
0,2019-12-26 05:25:02,29.2
0,2019-12-06 05:25:18,24.9
0,2019-12-11 05:25:22,26.0
0,2019-12-18 05:25:44,27.4
0,2019-12-25 05:26:11,26.0
0,2019-12-31 05:26:54,30.2
0,2019-12-06 05:27:03,30.6
0,2019-12-18 05:27:18,25.6
