road_segment,datetime,average_speed
0,2019-12-23 05:00:00,37.0
0,2019-12-05 05:00:02,52.6
0,2019-12-12 05:00:04,49.4
0,2019-12-29 05:00:04,45.7
0,2019-12-12 05:00:05,40.2
0,2019-12-30 05:00:08,44.0
0,2019-12-17 05:00:10,40.5
0,2019-12-10 05:00:12,49.4
0,2019-12-09 05:00:20,43.0
0,2019-12-12 05:00:20,45.1
0,2019-12-03 05:00:22,53.9
0,2019-12-11 05:00:27,55.3
0,2019-12-18 05:00:38,53.8
0,2019-12-30 05:00:58,38.7
0,2019-12-07 05:01:22,44.4
0,2019-12-09 05:01:23,47.1
0,2019-12-09 05:01:31,41.1
0,2019-12-19 05:01:53,37.6
0,2019-12-06 05:01:54,39.3
0,2019-12-27 05:01:57,39.9
0,2019-12-20 05:01:58,44.7
0,2019-12-20 05:02:00,43.6
0,2019-12-26 05:02:05,50.0
0,2019-12-27 05:02:24,52.0
0,2019-12-24 05:02:25,40.8
0,2019-12-08 05:02:36,43.3
0,2019-12-09 05:02:38,41.1
0,2019-12-08 05:02:47,40.9
0,2019-12-04 05:02:56,37.6
0,2019-12-06 05:03:14,41.4
0,2019-12-23 05:03:30,43.5
0,2019-12-24 05:03:38,39.2
0,2019-12-27 05:03:50,40.7
0,2019-12-01 05:03:57,40.6
0,2019-12-31 05:03:57,43.8
0,2019-12-31 05:04:00,39.9
0,2019-12-25 05:04:28,44.0
0,2019-12-06 05:04:43,45.9
0,2019-12-11 05:04:43,43.5
0,2019-12-27 05:04:44,42.4
0,2019-12-22 05:04:59,40.6
0,2019-12-22 05:05:00,37.0
0,2019-12-21 05:05:29,40.5
0,2019-12-22 05:05:56,42.4
0,2019-12-22 05:05:59,40.1
0,2019-12-22 05:06:03,38.0
0,2019-12-23 05:06:04,42.8
0,2019-12-22 05:06:13,35.5
0,2019-12-30 05:06:14,42.1
0,2019-12-04 05:06:19,38.7
0,2019-12-16 05:06:22,38.5
0,2019-12-22 05:06:51,37.6
0,2019-12-31 05:07:08,38.4
0,2019-12-24 05:07:49,44.4
0,2019-12-18 05:07:55,42.1
0,2019-12-17 05:08:00,42.1
0,2019-12-12 05:08:01,40.3
0,2019-12-05 05:08:08,39.8
0,2019-12-03 05:08:13,42.9
0,2019-12-17 05:08:31,40.6
0,2019-12-26 05:09:30,39.4
0,2019-12-10 05:09:43,43.7
0,2019-12-06 05:09:47,47.7
0,2019-12-29 05:09:48,41.9
0,2019-12-17 05:10:04,40.9
0,2019-12-13 05:10:08,42.9
0,2019-12-06 05:10:25,40.7
0,2019-12-23 05:10:37,40.7
